County,Vehicle_Half_Percent,Population_Half_Percent,Low_Income_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent,"Convenience stores, 2016","Fast-food restaurants, 2016",Fast Food,Soda ,"Grocery stores, 2016","Farmers' markets, 2018",Fruit ,Veggie,Obese,Food Desert Score,Food Swamp Score,Food Heaven Score
San Benito,0.3908158280410356,62.096292677631226,14.36248168050806,36.92666775226619,7.49606470173153,0.2713998805840525,21.7119904467242,50.661311042356395,65110.0,13240.0,16.2839928350431,1.809332537227,55.71,63.45,39.24,-0.6688237760511443,-0.1200424507699785,-0.3034749570367324
San Bernardino,0.8768628298799633,65.51171623567102,24.133676623051183,30.798443403874785,10.905754197355556,0.403447310105591,23.6339247546936,74.9799774961797,75580.0,15100.0,15.1827084182959,1.0809695313997,49.54,52.18,35.86,-0.2301522225033673,0.5725987467315862,-1.079506692853822
San Diego,0.6546026201550538,53.89842642731123,12.595269040643062,19.77312149045993,4.105400649304287,0.1672528755573346,24.4886381441876,88.3917070745349,60520.0,8900.0,18.7057011681855,1.486117882101,55.51,60.94,23.03,-0.9090675484362998,-0.0042960772837924,-0.3664434259809461
San Francisco,0.5110309412780121,9.959080268493048,2.5478276527970096,0.5844256645575515,0.3025203822486603,0.0491781902177625,13.9089830918924,118.9714803752941,41050.0,4670.0,44.4590709544418,3.4772457729731,58.64,73.82,15.16,-1.810803512682422,-0.5795943506137133,0.9817323063548344
San Joaquin,1.0939638643175458,60.68632114704964,20.82908948703207,24.39333669922633,7.338035855515638,0.2727248849419091,22.325793149337603,67.99882096464931,63180.0,11120.0,23.347234665974,2.188803249935,50.8,55.56,36.26,-0.4187701261114072,-0.078913723512057,-0.6335570881384024
San Luis Obispo,1.0491883532304542,72.60316647937783,18.83198522457971,37.04647359227406,8.556689178413942,0.3849620044726799,34.119946446518796,86.7833420487544,57990.0,6490.0,25.5899598348891,7.7882486454010005,55.58,65.36,23.23,-0.2050475255346196,-0.0705712450704318,0.3618819914700431
San Mateo,0.4666984943997572,38.61655144192157,4.519306118301735,11.805815567102002,1.169321220236314,0.1295843418688261,20.5998738953665,82.538683918597,46560.0,5500.0,25.3322773578156,3.2013317540096,61.1,64.52,18.36,-1.389350610491858,-0.6949866927038271,0.3004948507024676
Santa Barbara,0.6997015770414844,54.28844407223487,15.330211491053207,21.045070123497563,5.314995458781066,0.1814128498802769,23.354840231661097,81.1521721180952,62390.0,7720.0,28.308897250498298,3.0667972021373,55.12,52.57,64.14,-0.8047596380822392,-0.1157658253436565,-0.3561806873963419
Santa Clara,0.6252659063942139,44.40235468180476,7.1723163239303975,9.435902386674764,1.0925876242252932,0.1008620138052425,20.4305915554303,86.6616301142429,54880.0,5360.0,19.5325435749718,2.1889919523675,58.14,64.65,49.32,-1.2593821327984067,-0.4299768161696932,-0.0410845086328058
Santa Cruz,0.8510492335602291,59.3825033729448,15.025802074837452,30.374034804216755,6.890335465085258,0.349109313901106,24.7730408335937,66.696648398137,40570.0,8200.0,27.059783064387,3.8112370513221,67.19,75.22,56.0,-0.5585921330444138,-0.8310964558437206,1.0594478776741147
Shasta,1.8112773172782315,78.1642337619835,27.5415719178662,50.14981125474685,16.493344543315484,0.8509053565282159,51.911997878379196,68.8398232735028,63520.0,10730.0,19.7491296276442,7.8996518510577,52.59,69.87,29.08,0.6592620287617176,0.3787781596734484,0.2464068257784141
Sierra,1.882716049382716,100.0,29.41358024691358,100.0,29.41358024691358,1.882716049382716,30.8641975308641,30.8641975308641,55680.0,16170.000000000002,30.8641975308641,0.0,57.54,66.46,22.01,1.866798208361826,-0.305927632074045,0.1211896587148985
Siskiyou,2.048997772828508,81.07126948775056,33.20935412026726,61.71269487750557,24.47216035634744,1.2583518930957684,57.9064587973273,62.3608017817371,55680.0,16170.000000000002,42.316258351893005,15.590200445434201,57.54,66.46,22.01,1.2365488901650066,0.472503598049408,1.3924112038633698
Solano,0.7265135093287916,59.26274483239142,12.485726174808391,25.798850352248976,4.492625996748472,0.215317024076798,27.338004180537197,70.1594797553611,69780.0,14460.0,17.4189053185724,1.2096462026786001,50.53,61.35,27.8,-0.7691844591852232,0.3821764941279776,-0.6427720738213305
Sonoma,0.8458743732924415,56.91889277875828,12.156989985078884,25.85403758798705,5.112445699122506,0.3091688400795241,29.7595674942857,60.1391259780357,52000.0,5900.0,28.9329128416667,5.166591578869,58.34,69.94,26.2,-0.7139341907340393,-0.6371383864195428,0.5705841346895262
Stanislaus,0.983180193331558,54.709370924068864,19.91882640396693,17.2412251459317,5.841933082322389,0.2388945151452124,31.4897570817936,71.1435252588671,69280.0,15130.0,25.4639393686109,2.3325745986513,47.77,54.16,34.26,-0.619524927154307,0.479784955207407,-0.7721128377238418
